40	.	0	3	1	0	.	1	3	1	0	2	2	0	0	2	3
41	1	1	0	1	.	.	2	1	1	1	0	1	1	0	0	4
42	1	3	2	1	1	1	2	2	1	3	1	2	2	2	2	2
43	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
44	1	2	3	2	.	.	2	3	.	2	2	2	2	3	3	3
45	4	1	3	1	1	2	2	2	3	2	3	4	3	3	4	1
46	3	3	1	.	.	.	1	1	.	2	2	.	0	1	3	3
47	3	2	3	2	.	0	3	4	2	2	1	3	3	2	2	3
48	.	.	3	.	.	.	1	2	.	2	2	2	2	2	3	2
49	.	1	2	1	.	0	2	2	2	2	2	3	1	2	4	4
50	1	1	2	.	.	.	.	.	.	1	1	.	.	.	.	.
51	1	0	2	1	1	.	1	2	3	2	2	2	2	2	.	3
52	1	2	1	1	.	.	0	0	.	1	0	2	1	2	0	3
53	4	3	1	.	.	1	3	3	1	1	.	1	3	1	3	3
54	2	1	2	1	1	1	2	2	0	2	2	0	2	4	3	2
55	4	2	0	1	0	2	4	0	2	4	3	2	3	2	1	4
56	4	.	1	1	0	1	1	3	.	2	.	2	3	3	3	3
57	2	3	2	1	0	0	2	2	1	2	2	3	2	2	2	2
58	0	0	2	.	0	2	1	0	0	1	0	0	0	0	4	3
59	2	0	3	1	0	.	2	4	1	2	3	4	4	3	4	3
60	3	3	3	1	2	.	2	3	1	2	2	3	2	2	2	4
61	1	.	1	0	.	.	1	0	1	.	.	1	2	2	2	2
62	2	0	2	1	2	0	2	0	2	0	.	.	4	3	3	3
63	3	1	1	0	.	.	0	3	.	1	3	0	2	0	2	4
64	4	4	3	1	2	2	4	4	3	4	4	3	3	4	4	3
65	3	0	3	1	0	.	1	0	0	2	.	1	1	1	1	4
66	1	0	1	0	.	.	2	1	2	2	0	1	3	3	2	3
67	2	1	0	1	0	.	0	2	.	2	.	1	2	1	0	3
68	3	2	3	2	1	1	1	2	1	1	2	1	4	1	3	2
69	3	3	2	1	1	1	1	3	2	2	1	3	2	3	2	1
70	4	3	2	1	1	1	2	3	2	2	3	4	4	3	4	2
71	4	1	3	1	1	.	2	3	3	1	3	4	3	4	3	2
72	.	.	2	0	0	0	.	2	.	0	.	3	.	.	1	2
73	2	0	3	0	.	.	1	0	1	1	0	1	2	2	1	3
74	4	0	2	1	.	1	1	1	0	3	.	3	0	1	2	4
75	0	0	1	1	1	.	1	0	0	1	0	1	0	0	0	2
76	2	2	2	1	0	1	2	2	3	2	2	1	2	3	1	3
77	1	1	2	1	.	.	2	2	.	2	2	2	2	2	3	2
78	3	2	4	1	1	.	2	3	.	4	2	3	2	4	2	3
79	1	0	3	2	0	0	1	2	.	2	.	2	2	2	2	3
80	3	0	3	1	0	1	1	3	1	1	0	3	2	1	1	1
81	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1
82	2	0	2	0	0	1	1	1	1	2	2	1	2	2	2	3
83	2	0	3	1	.	.	3	3	.	2	1	2	4	2	3	1
84	2	0	3	.	1	2	2	3	1	2	1	4	2	2	3	2
