144	1	1	2	.	.	.	.	.	.	.	.	.	.	.	.
145	4	4	4	0	1	1	3	3	2	2	2	3	2	3	2
146	4	2	1	1	.	.	3	2	2	2	1	2	2	2	4
147	.	3	2	0	1	2	1	4	.	2	.	1	1	2	.
148	2	2	1	1	0	0	2	1	0	2	1	1	1	1	3
149	2	2	2	1	1	1	1	4	1	4	2	3	3	3	3
150	2	2	2	.	.	1	2	2	.	1	2	4	2	3	4
151	.	4	1	1	.	.	1	0	.	2	.	1	2	.	.
152	.	.	2	.	.	.	.	.	.	.	.	.	.	.	.
153	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2
154	2	3	.	.	.	2	2	0	0	0	3	2	2	2	2
155	2	2	0	0	1	2	1	2	1	2	2	1	2	1	2
156	.	.	.	1	.	.	2	2	.	1	2	.	1	2	1
157	2	1	2	0	0	.	1	3	1	1	2	2	4	2	1
158	2	2	2	1	1	0	2	2	1	2	2	2	1	1	2
159	3	3	3	2	2	2	3	3	3	2	3	3	3	3	3
160	0	0	0	1	0	0	0	0	2	0	1	0	0	1	1
161	2	4	4	2	1	2	3	4	1	0	4	4	4	4	4
162	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3
163	0	0	4	1	0	0	3	3	1	0	0	2	0	0	0
164	2	2	2	1	1	1	2	2	0	0	1	1	2	2	2
165	0	0	0	0	0	0	0	1	0	2	0	2	0	3	.
166	2	2	0	1	1	1	2	2	.	0	0	2	2	2	2
167	0	0	0	2	1	2	0	0	0	1	1	2	4	3	4
168	2	1	1	0	0	.	0	2	0	1	1	2	2	2	4
169	1	0	3	0	0	.	1	0	0	0	0	0	0	0	3
170	1	0	2	.	.	1	1	1	.	1	0	1	1	1	3
171	.	0	3	0	0	0	0	0	0	0	.	.	0	0	2
172	2	2	2	1	1	1	2	2	.	1	0	3	4	2	2
173	0	0	2	1	0	.	3	2	0	1	0	3	2	3	4
174	3	0	0	1	.	.	3	4	.	0	0	0	0	0	4
175	3	2	3	1	0	.	1	3	3	1	3	4	3	3	4
176	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1
177	4	4	4	1	.	.	4	2	3	2	4	3	4	4	4
178	1	.	0	2	1	1	4	1	1	1	1	3	2	2	3
179	0	0	2	0	0	.	1	2	3	0	0	1	0	2	4
180	1	0	3	0	0	0	1	2	0	2	1	1	1	1	2
181	0	0	1	1	.	.	0	0	0	0	3	0	0	0	2
182	1	1	2	1	1	.	2	2	1	1	2	4	3	3	4
183	2	.	2	1	0	.	1	1	1	1	1	2	2	2	1
184	1	2	1	1	1	0	2	1	3	1	2	2	2	3	2
185	.	.	1	0	.	0	2	3	2	2	.	4	.	3	4
186	0	0	2	1	0	.	1	1	0	0	0	0	0	0	3
187	3	1	2	1	0	1	2	2	.	1	1	3	3	2	2
188	3	2	0	0	0	.	2	0	1	0	1	1	2	2	1
189	3	4	3	1	0	.	2	4	2	1	2	2	2	3	3
190	.	.	3	0	.	0	2	2	1	0	.	3	0	2	4
191	2	1	3	1	.	.	2	3	3	3	3	3	3	4	3
192	2	3	3	2	1	1	2	2	.	1	.	3	2	3	3
193	0	0	1	1	0	0	0	2	1	0	3	1	3	0	3
194	3	2	2	1	2	1	1	2	2	2	2	2	2	3	2
195	1	0	1	0	0	0	3	1	1	1	1	2	1	2	2
196	0	0	1	0	0	0	0	.	2	0	1	0	0	1	1
197	2	1	2	1	0	1	2	1	1	1	2	1	2	1	3
198	2	0	1	0	0	0	2	1	2	0	2	1	1	1	1
199	3	.	.	1	.	.	2	.	0	2	2	3	2	2	3
200	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
201	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
202	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
203	2	2	2	0	0	0	2	2	0	0	0	0	0	0	0
204	1	0	1	0	0	0	1	4	0	2	1	4	1	1	3
205	4	3	4	0	1	0	3	3	2	3	3	3	3	3	2
206	0	0	3	0	0	0	1	1	0	2	0	1	0	0	2
207	0	0	2	1	0	0	1	1	0	2	1	3	1	1	2
208	1	0	3	0	.	0	2	3	2	2	2	3	2	2	3
209	0	.	0	0	0	0	1	0	0	2	0	0	0	0	0
210	1	2	2	.	.	.	2	2	.	.	2	2	3	2	2
211	0	0	1	0	0	0	3	3	0	2	0	3	0	2	4
212	0	0	3	1	0	0	2	1	0	2	0	2	2	2	3
213	2	1	0	0	.	.	0	2	1	2	2	2	.	1	3
214	.	1	1	0	.	0	.	2	.	2	1	1	.	3	2
215	1	0	2	1	0	1	1	2	.	2	2	3	2	2	4
216	0	0	3	.	.	.	0	1	.	2	1	3	.	.	3
217	2	0	2	.	.	.	1	1	1	2	0	2	2	1	2
218	3	0	4	0	0	.	1	3	0	2	2	3	2	2	3
219	1	1	3	1	1	.	3	1	3	3	3	2	2	1	3
220	1	2	3	1	0	1	1	1	0	2	1	1	2	2	3
221	0	0	1	1	0	0	1	1	0	1	3	4	0	0	2
222	0	0	3	0	0	.	1	0	0	2	0	1	2	1	1
223	0	0	2	0	0	.	1	1	2	2	2	3	2	3	0
224	0	.	2	1	.	0	2	0	.	2	0	1	2	2	2
